Sno.	Question (100 words)	Answer (Max 2000 words)	Question Category (Refer Sheet 2)	Applicable to Pathways	Pathway Stage	Source of Data (Preferable URL)	Actual Excerpt from the Source Data	Hospitals Applicable	Date	Author Name	Reviewed By	Expiry Date
548	What medications are used to treat gynaecomastia?	Medications such as tamoxifen and aromatase inhibitors may be prescribed to treat gynaecomastia, though they are not always licensed specifically for this use.	MEDICATION	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	Your specialist may prescribe you drugs to treat gynaecomastia. These are: Tamoxifen, Aromatase inhibitors (although these are prescribed very occasionally)	All	2025-12-11	Healthcare AI Team		
549	What are the side effects of tamoxifen?	Common side effects of tamoxifen include hot flushes and a loss of sex drive (libido).	SIDE_EFFECTS	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	Tamoxifen can have several side effects, including hot flushes and loss of sex drive (libido).	All	2025-12-11	Healthcare AI Team		
550	Is surgery an option for treating gynaecomastia?	Surgery may be recommended in exceptional circumstances for gynaecomastia, though it is not typically available on the NHS without an Individual Funding Request.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	Surgery for gynaecomastia may be recommended in exceptional circumstances. It’s not available on the NHS and will most likely need an Individual Funding Request (IFR).	All	2025-12-11	Healthcare AI Team		
551	What types of surgery are used for gynaecomastia?	Common surgical procedures for gynaecomastia include liposuction and breast reduction operations, sometimes combined. The specific procedure depends on the extent of the condition and excess skin.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	Liposuction (a surgical procedure where fat is removed from the affected area) is one of the most common procedures. It can be a treatment by itself or used at the same time as a breast reduction operation.	All	2025-12-11	Healthcare AI Team		
552	How should I feel about having gynaecomastia?	It's normal to feel anxious or worried about gynaecomastia, especially during puberty. Remember, it is a common condition and often resolves on its own. Seek support if needed.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	If you are going through puberty and coping with other physical changes, you may find it particularly hard to discuss growing or painful breasts with anyone.	All	2025-12-11	Healthcare AI Team		
553	Does gynaecomastia increase the risk of breast cancer?	Having gynaecomastia does not increase your risk of developing breast cancer. However, it’s important to be breast aware and report any new changes to your GP.	CANCER_RISK	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	Having gynaecomastia does not increase your risk of developing breast cancer, but it’s still important to be breast aware.	All	2025-12-11	Healthcare AI Team		
554	What should I do if my gynaecomastia symptoms worsen?	If your breast tissue grows larger, becomes painful, or you notice any new symptoms, it’s important to go back to your GP for further evaluation.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	It’s important to go back to your GP if your breast tissue grows larger or becomes painful, or if you have any new symptoms.	All	2025-12-11	Healthcare AI Team		
555	Can lifestyle changes help with gynaecomastia?	Yes, reducing excess body weight, cutting down on alcohol, and maintaining a balanced diet and regular exercise can help manage gynaecomastia.	LIFESTYLE	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	For some people, removing the cause of the gynaecomastia is all that’s needed to shrink the enlarged breast tissue. This may mean changing medicines, reducing excess body weight or reducing alcohol intake.	All	2025-12-11	Healthcare AI Team		
556	What is the role of oestrogen in gynaecomastia?	Oestrogen plays a significant role in gynaecomastia. Higher levels of oestrogen compared to testosterone can lead to the growth of breast tissue in men.	CAUSES	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	Increased hormone levels during puberty affect how breast tissue continues to develop. You may notice your breasts are tender or growing. This is because there will be times during puberty when there’s more of the hormone oestrogen than testosterone in your body.	All	2025-12-11	Healthcare AI Team		
557	Can herbal supplements cause gynaecomastia?	Yes, some herbal supplements and skincare products contain oestrogen or mimic its effects, which can lead to gynaecomastia.	CAUSES	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	Some herbal supplements and skincare products contain oestrogen. This may increase the level of oestrogen in your body or mimic the effect of oestrogen.	All	2025-12-11	Healthcare AI Team		
558	What tests might be done at a breast clinic for gynaecomastia?	Tests at a breast clinic may include a mammogram, ultrasound scan, fine needle aspiration, or core biopsy to confirm the diagnosis of gynaecomastia.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	You may need to have other tests to make a definite diagnosis. These tests can include: A mammogram (breast x-ray), An ultrasound scan – uses sound waves to produce an image, A fine needle aspiration (FNA) – uses a fine needle and syringe to take a sample of cells to be looked at under a microscope, A core biopsy – uses a hollow needle to take a small sample of breast tissue to be looked at under a microscope.	All	2025-12-11	Healthcare AI Team		
559	What should I expect during a breast clinic appointment for gynaecomastia?	During a breast clinic appointment, you will have a breast examination and may undergo additional tests. The specialist may also examine other parts of your body and request further tests like a blood test.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	At the clinic you’ll have a breast examination. You may need to have other tests to make a definite diagnosis... They may also ask you to have further tests, such as a blood test.	All	2025-12-11	Healthcare AI Team		
560	Where can I find further support and information about gynaecomastia?	You can find further support and information by calling the Breast Cancer Now Helpline on 0808 800 6000 or visiting their website at breastcancernow.org.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc155-gynaecomastia-web-pdf.pdf	If you have any questions about gynaecomastia or just want to talk things through, you can call our helpline on 0808 800 6000 and speak with one of our team.	All	2025-12-11	Healthcare AI Team		
561	What are pathology results and why are they important?	Pathology results are detailed reports about your breast cancer, obtained by examining tissue samples under a microscope. These results are crucial as they help your treatment team decide the most effective treatment plan for you based on the specific features of your cancer.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Pathology is the study of disease. If you’ve had a biopsy to diagnose breast cancer, or you have had breast cancer surgery, a doctor called a pathologist will look at the tissue under a microscope. They’ll confirm the diagnosis and look at the features of the cancer cells.	All	2025-12-11	Healthcare AI Team		
562	How long do I have to wait for my pathology results?	Typically, pathology results take between 1 and 2 weeks. However, some tests may take longer, especially if they need to be done in a different hospital or if additional tests are required. Your specialist or breast care nurse can provide you with a more accurate timeline.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Results usually take between 1 and 2 weeks. Some tests take longer than others and may be done in a different hospital to the one where you’re being treated.	All	2025-12-11	Healthcare AI Team		
563	What should I do when I receive my pathology results?	When you receive your pathology results, it may be helpful to bring a pen and paper to take notes or record the appointment with permission. You might also consider bringing a relative or friend for support. If there’s anything you don’t understand, ask your treatment team to explain it to you.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	When you first get your results, you may find it difficult to take everything in. You might want to bring a pen and paper to your appointment so you can make notes. Or you could record the appointment on your phone so you can listen back to it later. Just ask permission first.	All	2025-12-11	Healthcare AI Team		
564	What information is included in a pathology report?	A pathology report typically includes general information like your name, date of birth, and hospital number, clinical information about the tissue removed, features of the breast tissue before and after microscopic examination, and a summary of the main points. The level of detail can vary depending on the type of tissue removed.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Not all pathology reports look the same. The layout and words used might be different between hospitals. However, most follow this structure.	All	2025-12-11	Healthcare AI Team		
565	How does the type of breast cancer affect my treatment options?	The type of breast cancer you have, determined by how the cancer cells look under a microscope, influences the treatment options available to you. Different types of breast cancer may require different approaches, and your treatment team will recommend the best treatment based on your specific type of cancer.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	The treatment your team recommends will depend on the type of breast cancer you have, along with other features of your cancer.	All	2025-12-11	Healthcare AI Team		
566	What does the size of the breast cancer indicate in my pathology results?	The size of the breast cancer, measured in millimeters, is a critical factor in determining your treatment plan. Larger cancers may require more extensive surgery or additional treatments like chemotherapy. The size also affects whether you might need breast-conserving surgery or a mastectomy.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	The size of the cancer is usually given in millimetres (mm). There may be more than one area of cancer. The size may affect the type of operation you have, and whether you need other treatments.	All	2025-12-11	Healthcare AI Team		
567	What does the grade of my breast cancer mean?	The grade of your breast cancer indicates how fast the cancer is growing. Faster-growing cancers (higher grade) are more likely to be treated with chemotherapy, whereas slower-growing cancers may have different treatment approaches.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Breast cancers can grow at different speeds. If you have a faster-growing cancer, you're more likely to be offered chemotherapy.	All	2025-12-11	Healthcare AI Team		
568	What happens if not all the cancer was removed during surgery?	If pathology results suggest that not all the cancer was removed during surgery, you may need another operation to remove more breast tissue to ensure all cancerous cells are eliminated.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	If it looks like not all the cancer was removed, you may need another operation to remove more breast tissue.	All	2025-12-11	Healthcare AI Team		
569	What if the cancer has spread to the lymph nodes under my arm?	If your breast cancer has spread to the lymph nodes under your arm, you may be offered additional surgery, radiotherapy to the area, or chemotherapy to address the spread and reduce the risk of further progression.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	If the cancer has spread to the lymph nodes under the arm, you may be offered more surgery or radiotherapy to this area. Some people will be offered chemotherapy.	All	2025-12-11	Healthcare AI Team		
570	What tests are done to determine what is helping my cancer grow?	Tests are conducted to identify hormones and proteins in your body that may be contributing to the growth of your breast cancer. Based on these results, you may be offered hormone therapy or targeted therapy to inhibit these growth factors.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Hormones and proteins found naturally in your body can sometimes help your cancer grow. Tests will be done to find out what might be helping your breast cancer grow.	All	2025-12-11	Healthcare AI Team		
571	What does it mean if I have both invasive and non-invasive breast cancer?	If you have both invasive and non-invasive breast cancer, your pathology report will provide information about both types. The treatment plan will consider both types, though they may be addressed differently.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Sometimes there are areas of both invasive and non-invasive breast cancer at the same time. If this is the case, the report will include information about both.	All	2025-12-11	Healthcare AI Team		
572	What is invasive breast cancer (no special type)?	Invasive breast cancer (no special type) is the most common type of invasive breast cancer. It is called no special type (NST) because it doesn’t have specific features that classify it as a special type under a microscope. It is also known as invasive ductal breast cancer or invasive breast cancer not otherwise specified (NOS).	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Most invasive breast cancers are of no special type (NST). They’re called no special type (NST) because they have no features that class them as a special type of breast cancer when examined under a microscope.	All	2025-12-11	Healthcare AI Team		
573	What are the different types of invasive breast cancer?	Other types of invasive breast cancer include cribriform, inflammatory, invasive lobular, invasive micropapillary, malignant phyllodes, medullary, metaplastic, mucinous, Paget’s disease of the breast, papillary, and tubular. These are treated similarly to invasive breast cancer (NST).	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Other breast cancers are known as “special” types. When these cancer cells are looked at under a microscope, some have certain features that identify them as a particular type.	All	2025-12-11	Healthcare AI Team		
574	What is ductal carcinoma in situ (DCIS)?	Ductal carcinoma in situ (DCIS) is an early, non-invasive type of breast cancer. It is confined to the milk ducts and has not spread to surrounding breast tissue. It is sometimes called pre-invasive or intraductal.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Ductal carcinoma in situ (also called DCIS) is an early type of non-invasive breast cancer. It’s sometimes called pre-invasive or intraductal.	All	2025-12-11	Healthcare AI Team		
575	How is the size of breast cancer measured in pathology results?	The size of breast cancer is measured at its widest point in millimeters. If both DCIS and invasive breast cancer are present, the report will indicate their combined size, but treatment decisions are based on the invasive cancer details.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	The size of the breast cancer is measured at its widest point, usually in millimetres (mm).	All	2025-12-11	Healthcare AI Team		
576	What does it mean if there is more than one area of breast cancer?	If there is more than one area of breast cancer, each area is measured separately. If these areas are in the same quarter of the breast, it is called multi-focal. If they are in different quarters, it is called multi-centric.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Your pathology results usually say whether there’s only 1 area of cancer or more than 1 area. If there’s more than 1 area of breast cancer, each area is measured separately.	All	2025-12-11	Healthcare AI Team		
577	What happens if I had chemotherapy or hormone therapy before surgery?	If you had chemotherapy or hormone therapy before surgery, your pathology report will indicate the size of any remaining cancer. This is called the residual size and helps determine the effectiveness of the pre-surgery treatment.	PRE_SURGERY_PREHAB	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Your pathology report will tell you the size of any cancer still present. On the report this is sometimes called the residual size of the cancer.	All	2025-12-11	Healthcare AI Team		
578	How does the size of the breast cancer affect my treatment options?	The size of the breast cancer, relative to your breast size and its position, influences whether you might need a mastectomy or breast-conserving surgery. Chemotherapy may also be recommended based on the size and other features of the cancer.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	The size of the cancer in relation to your breast size, as well as its position in the breast, may affect what treatment you’re offered.	All	2025-12-11	Healthcare AI Team		
579	What is a complete pathological response?	A complete pathological response means that no remaining cancer is detected after pre-surgery chemotherapy or hormone therapy. This indicates a successful response to the treatment.	PRE_SURGERY_PREHAB	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Complete pathological response, meaning no remaining cancer	All	2025-12-11	Healthcare AI Team		
580	What additional tests might my treatment team conduct on my cancer?	Your treatment team may conduct additional tests to gather more information about your breast cancer. These tests help determine the best treatment plan for you. Your team will explain the purpose and nature of these tests.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Your treatment team may do other tests on the cancer. They will explain what the tests are and why they would like you to have them.	All	2025-12-11	Healthcare AI Team		
581	What does the grade of breast cancer indicate?	The grade of breast cancer indicates how different the cancer cells are from normal breast cells and how quickly they are growing. There are three grades: Grade 1 (most like normal cells, slower growing), Grade 2 (less like normal cells, growing faster), and Grade 3 (least like normal cells, growing quickest). This grading helps determine treatment options.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Breast cancers are given a grade according to How different the cancer cells are to normal breast cells How quickly they are growing	All	2025-12-11	Healthcare AI Team		
582	How does the grade of breast cancer affect my treatment options?	The grade of your breast cancer influences your treatment options. For instance, if you have Grade 3 breast cancer, you are more likely to be offered chemotherapy to destroy any potentially spread cancer cells due to its faster growth. Grade 1 and 2 cancers are less likely to require chemotherapy.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Your treatment team will consider the grade of your cancer when deciding which treatment to offer you.	All	2025-12-11	Healthcare AI Team		
583	What is Ki67 and why is it important in my pathology results?	Ki67 is a protein found in cells that indicates how fast the cells are dividing and growing. Higher levels of Ki67 suggest faster cell growth. If included in your pathology results, it can help your treatment team decide on the most appropriate treatment plan for you.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Ki67 is a protein found in cells. The higher the levels of Ki67, the faster the cells are dividing and growing.	All	2025-12-11	Healthcare AI Team		
584	What do negative or clear surgical margins mean in my pathology report?	Negative or clear surgical margins mean that no cancer cells were seen at the outer edge of the tissue removed. This usually indicates that the cancer has been completely removed and you are unlikely to need more surgery.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Negative or clear margins, meaning no cancer cells were seen at the outer edge of the tissue removed	All	2025-12-11	Healthcare AI Team		
585	What happens if I have positive surgical margins after my surgery?	If you have positive surgical margins, it means the cancer cells are very close to, or reach the edge of, the tissue removed. You may need another operation to remove more tissue, which could involve more breast-conserving surgery or a mastectomy to ensure all cancer is removed.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Positive margins, meaning the cancer cells are very close to, or reach the edge of, the tissue	All	2025-12-11	Healthcare AI Team		
586	What is lymphovascular invasion and how does it affect my treatment?	Lymphovascular invasion occurs when breast cancer cells spread into the blood or lymph vessels. This increases the risk of the cancer spreading elsewhere in the body. If detected, you may be offered treatments such as chemotherapy or radiotherapy.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	If breast cancer cells spread into these vessels, it’s called lymphovascular invasion. This increases the chances of the breast cancer spreading to somewhere else in the body.	All	2025-12-11	Healthcare AI Team		
587	Why is it important to check for cancer cells in the lymph nodes?	Checking for cancer cells in the lymph nodes is important because if cancer has spread to the lymph nodes, it increases the likelihood of the cancer spreading to other parts of the body. This information helps determine the most effective treatment plan for you.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	If you have invasive breast cancer, your treatment team will usually want to check if any of the lymph nodes (glands) under the arm contain cancer cells.	All	2025-12-11	Healthcare AI Team		
588	What does it mean if my lymph nodes are negative for cancer cells?	If your lymph nodes are negative for cancer cells, it means that the nodes tested do not contain any cancer cells. This generally indicates a lower risk of the cancer having spread and may influence your treatment options.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Negative lymph nodes, meaning the nodes tested do not contain cancer cells	All	2025-12-11	Healthcare AI Team		
589	How do hormone receptors in breast cancer affect my treatment options?	Hormone receptors, such as oestrogen receptor (ER) and progesterone receptor (PR), can influence your treatment. If your breast cancer is ER-positive, you may be prescribed hormone therapy to block the effect of oestrogen on cancer cells. PR-positive but ER-negative cases are less common and require discussion with your specialist.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Hormone therapies block or stop the effect of oestrogen on breast cancer cells. Different hormone therapy drugs do this in different ways.	All	2025-12-11	Healthcare AI Team		
590	What are HER2 levels and how do they affect my treatment?	HER2 levels refer to the amount of a protein called HER2 on the surface of breast cancer cells. Higher levels (HER2-positive) mean the cancer cells grow more quickly. If your cancer is HER2-positive, you may be advised to have chemotherapy and targeted therapy like trastuzumab.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Some breast cancer cells have a higher-than-normal level of a protein called HER2 on their surface, which makes them grow more quickly.	All	2025-12-11	Healthcare AI Team		
591	What are genomic assays and why might I need them?	Genomic assays are tests that analyze groups of genes in breast cancer cells to help determine the likelihood of cancer recurrence and the potential benefit from chemotherapy and hormone therapy. They are usually considered for invasive, ER-positive, HER2-negative, and lymph node-negative breast cancers or those with up to 3 positive lymph nodes.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Genomic assays are tests that look at groups of genes found in breast cancer cells. They help identify who is most likely to benefit from chemotherapy as well as hormone therapy, and how likely the cancer is to return (recurrence).	All	2025-12-11	Healthcare AI Team		
592	What does a low EndoPredict risk score mean for my treatment?	A low EndoPredict risk score means it is unlikely that your breast cancer will spread to other parts of the body. Most people with a low risk score will not need chemotherapy, focusing instead on hormone therapy if applicable.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	A low risk score means it’s unlikely the breast cancer will spread to somewhere else in the body. Most people with a low risk score will not need chemotherapy.	All	2025-12-11	Healthcare AI Team		
593	How does the Oncotype DX test influence my treatment plan?	The Oncotype DX test provides a Recurrence Score from 0 to 100. A higher score indicates a greater likelihood of cancer recurrence and potential benefit from chemotherapy in addition to hormone therapy. Chemotherapy is usually recommended for scores of 26 or above if you are over 50, or 16 or above if you are 50 or under.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	The test gives a score, called a Recurrence Score, from 0 to 100. The higher the score, the more likely breast cancer is to come back and the more likely you are to benefit from having chemotherapy as well as hormone therapy.	All	2025-12-11	Healthcare AI Team		
594	What does a high Prosigna risk score mean for my treatment?	A high Prosigna risk score indicates a greater likelihood that your breast cancer will spread to other parts of the body. Based on this score and the status of your lymph nodes, chemotherapy may be recommended in addition to hormone therapy.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	The test gives a score, called a Recurrence Score, between 0 and 100. Based on this score and whether any lymph nodes under the arm are affected, the results are reported as low, intermediate or high risk.	All	2025-12-11	Healthcare AI Team		
595	What should I do if I notice new symptoms after my surgery?	If you notice new symptoms after your surgery, such as unusual swelling, pain, or changes in the surgical area, it is important to contact your healthcare provider immediately. These could be signs of complications or other issues that need to be addressed promptly.	SAFETY_RED_FLAGS	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	It’s important to monitor your recovery and report any new or concerning symptoms to your healthcare team.	All	2025-12-11	Healthcare AI Team		
596	How can I manage side effects from my chemotherapy?	To manage side effects from chemotherapy, maintain open communication with your healthcare team. They can provide medications to alleviate symptoms like nausea or fatigue. Additionally, adopting a balanced diet, staying hydrated, and getting adequate rest can help mitigate some side effects.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Your treatment team can offer medications and other strategies to help manage side effects.	All	2025-12-11	Healthcare AI Team		
597	What lifestyle changes can help during my breast cancer treatment?	Adopting a healthy lifestyle can support your treatment. This includes eating a balanced diet rich in fruits, vegetables, and whole grains, staying physically active within your limits, avoiding alcohol and tobacco, and managing stress through relaxation techniques or support groups.	LIFESTYLE	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Adopting a healthy lifestyle can help you feel better during and after treatment.	All	2025-12-11	Healthcare AI Team		
598	How can I get emotional support during my breast cancer journey?	Emotional support can be found through various resources such as support groups, counseling services, and helplines. Connecting with others who are going through similar experiences can provide comfort and practical advice. Additionally, speaking with a mental health professional can help you navigate your emotions and stress.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	There are many sources of support available, including support groups, counseling services, and helplines.	All	2025-12-11	Healthcare AI Team		
599	What follow-up care should I expect after completing my breast cancer treatment?	After completing your breast cancer treatment, you should expect regular follow-up appointments with your healthcare team. These appointments will include physical exams, imaging tests, and blood work to monitor your health and check for any signs of recurrence. Your care plan will be tailored to your specific needs and risk factors.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Regular follow-up appointments are important to monitor your health and check for any signs of recurrence.	All	2025-12-11	Healthcare AI Team		
600	What administrative steps should I take to manage my breast cancer treatment?	To manage your breast cancer treatment administratively, keep detailed records of all appointments, test results, and treatments. Communicate regularly with your healthcare team about any changes in your condition or concerns. Ensure you understand your treatment plan and any necessary paperwork, and don’t hesitate to ask for help if needed.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	Keeping organized records and maintaining clear communication with your healthcare team can help manage the administrative aspects of your treatment.	All	2025-12-11	Healthcare AI Team		
601	What type of breast cancer do I have?	Your pathology report will specify the type of breast cancer you have, such as invasive ductal carcinoma or lobular carcinoma. Understanding the type helps in determining the best treatment approach.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• What type of breast cancer do I have?	All	2025-12-11	Healthcare AI Team		
602	Is my breast cancer invasive, non-invasive, or both?	Your report will indicate whether the cancer is invasive (has spread beyond the milk ducts or lobules), non-invasive (remains within the ducts or lobules), or a combination of both. This distinction is crucial for treatment planning.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Is it invasive, non-invasive or both?	All	2025-12-11	Healthcare AI Team		
603	What size is the cancer?	The size of the cancer, measured in centimeters, is an important factor in staging and treatment decisions. Smaller cancers may require less aggressive treatment compared to larger ones.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• What size is the cancer?	All	2025-12-11	Healthcare AI Team		
604	Is there more than one area of cancer?	Your pathology report will indicate if there are multiple areas of cancer. This information helps in assessing the extent of the disease and planning appropriate treatment.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Is there more than 1 area of cancer?	All	2025-12-11	Healthcare AI Team		
605	What grade is the cancer?	The grade of the cancer (1, 2, or 3) describes how abnormal the cancer cells look under a microscope and how quickly the cancer is likely to grow. Higher grades indicate more aggressive cancer.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• What grade is the cancer?	All	2025-12-11	Healthcare AI Team		
606	Has all the cancer been removed?	Your pathology report will state whether all detectable cancer has been removed during surgery. This is critical for determining if further treatment is needed.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Has all the cancer been removed?	All	2025-12-11	Healthcare AI Team		
607	Are there any signs of lymphovascular invasion?	Lymphovascular invasion indicates that cancer cells are present in the lymphatic or blood vessels, which may increase the risk of the cancer spreading. Your report will specify if this is present.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Are there any signs of lymphovascular invasion?	All	2025-12-11	Healthcare AI Team		
608	Has the cancer spread to the lymph nodes?	Your report will detail if the cancer has spread to nearby lymph nodes and how many are affected. This information is vital for staging and treatment planning.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Has the cancer spread to the lymph nodes? If so, how many lymph nodes are affected?	All	2025-12-11	Healthcare AI Team		
609	Is the cancer hormone receptor positive (ER-positive or PR-positive)?	If the cancer is hormone receptor positive, it means the cancer cells have receptors for estrogen (ER) or progesterone (PR). This can influence the type of treatment recommended, such as hormone therapy.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Is the cancer hormone receptor positive (ER-positive or PR-positive)?	All	2025-12-11	Healthcare AI Team		
610	Is the cancer HER2-positive?	HER2-positive breast cancer means the cancer cells have higher than normal levels of the HER2 protein, which can make the cancer grow faster. Targeted therapies are often used to treat HER2-positive cancers.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Is the cancer HER2-positive?	All	2025-12-11	Healthcare AI Team		
611	Is a genomic assay test suitable for me?	A genomic assay test, such as Oncotype DX, can provide additional information about the risk of the cancer coming back and the likely benefit of chemotherapy. Your doctor will recommend if this test is suitable for you based on your specific situation.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	• Is a genomic assay test suitable for me? If so, what test will I have?	All	2025-12-11	Healthcare AI Team		
612	What does a low risk score mean for my treatment?	A low risk score indicates that it’s unlikely the breast cancer will spread elsewhere in the body, and most people with a low risk score will not need chemotherapy.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	A low risk score means it’s unlikely the breast cancer will spread somewhere else in the body. Most people with a low risk score will not need chemotherapy.	All	2025-12-11	Healthcare AI Team		
613	What if I have an intermediate risk score?	An intermediate risk score means the decision to have chemotherapy is less clear. Your specialist will discuss with you what they recommend and why based on your specific case.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	An intermediate risk score means the decision to have chemotherapy is less clear. Your specialist will discuss with you what they recommend and why.	All	2025-12-11	Healthcare AI Team		
614	What does a high risk score suggest about my treatment?	A high risk score means it’s more likely the breast cancer will spread to other parts of the body. Chemotherapy is generally recommended for most people with a high risk score.	CANCER_TREATMENT	Breast Cancer	All Stages	bcc161-understanding-your-results-web.pdf	A high risk score means it’s more likely the breast cancer will spread to somewhere else in the body. Chemotherapy is recommended for most people with a high risk score.	All	2025-12-11	Healthcare AI Team		
